date,net_cash_inflow,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows,net_daily_cash_flow,running_balance,cash_status,month
2017-07-01,0.0,0.0,1987.25,0.0,1696.6799999999998,1413.9,833.3333333333334,5931.163333333333,-5931.163333333333,494068.83666666667,healthy,2017-07
2017-07-02,1492.9099999999999,0.0,2175.5099999999998,52.25185,1641.2951999999998,1367.746,833.3333333333334,6070.136383333333,-4577.226383333333,489491.61028333334,healthy,2017-07
2017-07-03,3138.76,0.0,2623.36,109.85660000000001,2304.4680000000003,1920.3900000000003,833.3333333333334,7791.407933333334,-4652.647933333334,484838.96235,healthy,2017-07
2017-07-04,16514.69,0.0,2456.4,578.01415,2152.8768,1794.064,833.3333333333334,7814.688283333334,8700.001716666666,493538.96406666667,healthy,2017-07
2017-07-05,15147.49,0.0,3311.85,530.16215,2861.3844,2384.487,833.3333333333334,9921.216883333333,5226.273116666667,498765.2371833333,healthy,2017-07
2017-07-06,20228.59,0.0,3477.39,708.0006500000001,3076.6392,2563.866,833.3333333333334,10659.229183333335,9569.360816666665,508334.598,healthy,2017-07
2017-07-07,21406.420000000002,0.0,2526.27,749.2247000000001,1891.6968,1576.414,833.3333333333334,7576.938833333333,13829.481166666668,522164.07916666666,healthy,2017-07
2017-07-08,22883.03,0.0,1690.21,800.90605,1427.6483999999998,1189.707,833.3333333333334,5941.804783333333,16941.225216666666,539105.3043833333,healthy,2017-07
2017-07-09,20082.19,0.0,1845.15,702.87665,1189.8875999999998,991.573,833.3333333333334,5562.820583333333,14519.369416666665,553624.6738,healthy,2017-07
2017-07-10,13381.78,0.0,3070.41,468.36230000000006,2447.6808,2039.7340000000002,833.3333333333334,8859.520433333335,4522.259566666666,558146.9333666667,healthy,2017-07
2017-07-11,15966.66,0.0,3617.2599999999998,558.8331000000001,2830.926,2359.105,833.3333333333334,10199.457433333333,5767.202566666667,563914.1359333333,healthy,2017-07
2017-07-12,13118.27,0.0,3228.19,459.13945000000007,2674.584,2228.82,833.3333333333334,9424.066783333334,3694.203216666667,567608.33915,healthy,2017-07
2017-07-13,19626.49,0.0,3437.72,686.9271500000001,2148.3276,1790.2730000000001,833.3333333333334,8896.581083333333,10729.908916666669,578338.2480666667,healthy,2017-07
2017-07-14,25251.36,0.0,3088.11,883.7976000000001,2619.9912,2183.326,833.3333333333334,9608.558133333334,15642.801866666667,593981.0499333333,healthy,2017-07
2017-07-15,21419.29,0.0,2197.5,749.6751500000001,1575.3659999999998,1312.805,833.3333333333334,6668.679483333333,14750.610516666668,608731.66045,healthy,2017-07
2017-07-16,13413.53,346257.774,2513.28,469.47355000000005,1864.9008,1554.084,833.3333333333334,353492.8456833333,-340079.31568333326,268652.34476666676,healthy,2017-07
2017-07-17,19351.82,0.0,3808.57,677.3137,3043.7472000000002,2536.456,833.3333333333334,10899.420233333334,8452.399766666666,277104.7445333334,healthy,2017-07
2017-07-18,13820.11,0.0,3948.13,483.70385000000005,3864.2916,3220.2430000000004,833.3333333333334,12349.701783333334,1470.4082166666667,278575.15275000007,healthy,2017-07
2017-07-19,22119.88,0.0,3148.65,774.1958000000001,2330.1672,1941.8060000000003,833.3333333333334,9028.152333333333,13091.727666666668,291666.88041666674,healthy,2017-07
2017-07-20,27009.14,0.0,3213.73,945.3199000000001,2542.5492,2118.791,833.3333333333334,9653.723433333334,17355.416566666667,309022.2969833334,healthy,2017-07
2017-07-21,28537.35,0.0,2288.49,998.8072500000001,1790.1036,1491.7530000000002,833.3333333333334,7402.487183333334,21134.862816666664,330157.1598000001,healthy,2017-07
2017-07-22,18526.9,0.0,1852.39,648.4415000000001,1593.5040000000001,1327.92,833.3333333333334,6255.588833333333,12271.311166666668,342428.47096666676,healthy,2017-07
2017-07-23,18567.82,0.0,1888.11,649.8737000000001,1680.6863999999998,1400.5720000000001,833.3333333333334,6452.5754333333325,12115.244566666668,354543.7155333334,healthy,2017-07
2017-07-24,14130.33,0.0,3116.91,494.56155000000007,2556.0756,2130.063,833.3333333333334,9130.943483333334,4999.386516666666,359543.1020500001,healthy,2017-07
2017-07-25,16441.920000000002,0.0,3010.68,575.4672000000002,2390.52,1992.1000000000001,833.3333333333334,8802.100533333334,7639.819466666668,367182.9215166668,healthy,2017-07
2017-07-26,15543.82,0.0,2598.69,544.0337000000001,1630.4088,1358.674,833.3333333333334,6965.139833333333,8578.680166666667,375761.60168333346,healthy,2017-07
2017-07-27,19448.19,0.0,2936.17,680.68665,2220.1308,1850.1090000000002,833.3333333333334,8520.429783333335,10927.760216666664,386689.36190000013,healthy,2017-07
2017-07-28,17966.16,0.0,3233.14,628.8156,2793.156,2327.63,833.3333333333334,9816.074933333335,8150.085066666665,394839.4469666668,healthy,2017-07
2017-07-29,14458.880000000001,0.0,2364.18,506.0608000000001,2134.6392,1778.866,833.3333333333334,7617.079333333333,6841.800666666668,401681.24763333343,healthy,2017-07
2017-07-30,16651.09,0.0,2396.81,582.7881500000001,1841.0028,1534.169,833.3333333333334,7188.103283333333,9462.986716666666,411144.2343500001,healthy,2017-07
2017-07-31,21172.56,0.0,3139.5099999999998,741.0396000000001,2436.2196,2030.183,833.3333333333334,9180.285533333334,11992.274466666668,423136.5088166668,healthy,2017-07
2017-08-01,19327.81,0.0,3533.5099999999998,676.4733500000001,3018.4296,2515.358,833.3333333333334,10577.104283333334,8750.705716666667,431887.21453333343,healthy,2017-08
2017-08-02,18797.31,0.0,2912.69,657.9058500000001,2499.8556,2083.213,833.3333333333334,8986.997783333334,9810.312216666667,441697.5267500001,healthy,2017-08
2017-08-03,20686.43,0.0,3077.8,724.0250500000001,2647.6092,2206.341,833.3333333333334,9489.108583333335,11197.321416666666,452894.84816666675,healthy,2017-08
2017-08-04,25607.68,0.0,3257.7,896.2688,2558.4384,2132.032,833.3333333333334,9677.772533333335,15929.907466666666,468824.7556333334,healthy,2017-08
