date,cash_inflow,refund_outflow,net_cash_inflow
2017-07-01,0.0,0.0,0.0
2017-07-02,1492.9099999999999,0.0,1492.9099999999999
2017-07-03,3138.76,0.0,3138.76
2017-07-04,16514.69,0.0,16514.69
2017-07-05,15147.49,0.0,15147.49
2017-07-06,20228.59,0.0,20228.59
2017-07-07,21406.420000000002,0.0,21406.420000000002
2017-07-08,22883.03,0.0,22883.03
2017-07-09,20082.19,0.0,20082.19
2017-07-10,13381.78,0.0,13381.78
2017-07-11,15966.66,0.0,15966.66
2017-07-12,13118.27,0.0,13118.27
2017-07-13,19626.49,0.0,19626.49
2017-07-14,25251.36,0.0,25251.36
2017-07-15,21419.29,0.0,21419.29
2017-07-16,13413.53,0.0,13413.53
2017-07-17,19351.82,0.0,19351.82
2017-07-18,13820.11,0.0,13820.11
2017-07-19,22119.88,0.0,22119.88
2017-07-20,27009.14,0.0,27009.14
2017-07-21,28537.35,0.0,28537.35
2017-07-22,18526.9,0.0,18526.9
2017-07-23,18567.82,0.0,18567.82
2017-07-24,14130.33,0.0,14130.33
2017-07-25,16441.920000000002,0.0,16441.920000000002
2017-07-26,15543.82,0.0,15543.82
2017-07-27,19448.19,0.0,19448.19
2017-07-28,17966.16,0.0,17966.16
2017-07-29,14458.880000000001,0.0,14458.880000000001
2017-07-30,16651.09,0.0,16651.09
2017-07-31,21172.56,0.0,21172.56
2017-08-01,19327.81,0.0,19327.81
2017-08-02,18797.31,0.0,18797.31
2017-08-03,20686.43,0.0,20686.43
2017-08-04,25607.68,0.0,25607.68
2017-08-05,20550.66,0.0,20550.66
2017-08-06,19070.66,0.0,19070.66
2017-08-07,20258.29,0.0,20258.29
2017-08-08,20071.13,0.0,20071.13
2017-08-09,17859.6,0.0,17859.6
2017-08-10,22146.14,0.0,22146.14
2017-08-11,25373.65,0.0,25373.65
2017-08-12,23836.18,0.0,23836.18
2017-08-13,18733.81,0.0,18733.81
2017-08-14,21012.86,0.0,21012.86
2017-08-15,16596.28,0.0,16596.28
2017-08-16,17685.11,0.0,17685.11
2017-08-17,19953.35,0.0,19953.35
2017-08-18,25749.079999999998,0.0,25749.079999999998
2017-08-19,27379.24,0.0,27379.24
2017-08-20,19645.56,0.0,19645.56
2017-08-21,15687.04,0.0,15687.04
2017-08-22,17354.75,0.0,17354.75
2017-08-23,16955.04,0.0,16955.04
2017-08-24,25948.7,0.0,25948.7
2017-08-25,20067.44,0.0,20067.44
2017-08-26,18204.3,0.0,18204.3
2017-08-27,13930.55,0.0,13930.55
2017-08-28,15398.6,0.0,15398.6
2017-08-29,13027.94,0.0,13027.94
2017-08-30,20162.68,0.0,20162.68
2017-08-31,29835.07,0.0,29835.07
2017-09-01,34382.479999999996,0.0,34382.479999999996
2017-09-02,30206.829999999998,0.0,30206.829999999998
2017-09-03,22795.21,0.0,22795.21
2017-09-04,30398.66,0.0,30398.66
2017-09-05,23839.41,0.0,23839.41
2017-09-06,34383.49,0.0,34383.49
2017-09-07,28024.88,0.0,28024.88
2017-09-08,22904.66,0.0,22904.66
2017-09-09,25723.13,0.0,25723.13
2017-09-10,18332.91,0.0,18332.91
2017-09-11,11833.960000000001,0.0,11833.960000000001
2017-09-12,21177.5,0.0,21177.5
2017-09-13,26452.72,0.0,26452.72
2017-09-14,26580.71,0.0,26580.71
2017-09-15,27767.0,0.0,27767.0
2017-09-16,29516.31,0.0,29516.31
2017-09-17,27076.53,0.0,27076.53
2017-09-18,21041.02,0.0,21041.02
2017-09-19,28199.07,0.0,28199.07
2017-09-20,26015.79,0.0,26015.79
2017-09-21,26556.35,0.0,26556.35
2017-09-22,21678.1,0.0,21678.1
2017-09-23,26231.7,0.0,26231.7
2017-09-24,19444.39,0.0,19444.39
2017-09-25,15654.76,0.0,15654.76
2017-09-26,16171.0,0.0,16171.0
2017-09-27,16707.59,0.0,16707.59
2017-09-28,20966.8,0.0,20966.8
2017-09-29,24599.75,0.0,24599.75
2017-09-30,22115.59,0.0,22115.59
2017-10-01,23852.79,0.0,23852.79
2017-10-02,33929.729999999996,0.0,33929.729999999996
2017-10-03,15590.09,0.0,15590.09
2017-10-04,24474.63,0.0,24474.63
2017-10-05,26884.11,0.0,26884.11
2017-10-06,28435.97,0.0,28435.97
2017-10-07,22280.46,0.0,22280.46
2017-10-08,26676.88,0.0,26676.88
2017-10-09,19147.37,0.0,19147.37
2017-10-10,24388.510000000002,0.0,24388.510000000002
2017-10-11,24260.17,0.0,24260.17
2017-10-12,26785.829999999998,0.0,26785.829999999998
2017-10-13,28414.82,0.0,28414.82
2017-10-14,27249.03,0.0,27249.03
2017-10-15,22395.04,0.0,22395.04
2017-10-16,21760.98,0.0,21760.98
2017-10-17,19728.3,0.0,19728.3
