date,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows
2017-07-01,0.0,1987.25,0.0,2827.8,1413.9,1666.6666666666667,7895.616666666668
2017-07-02,0.0,2175.5099999999998,52.25185,2735.492,1367.746,1666.6666666666667,7997.666516666667
2017-07-03,0.0,2623.36,109.85660000000001,3840.7800000000007,1920.3900000000003,1666.6666666666667,10161.053266666668
2017-07-04,0.0,2456.4,578.01415,3588.128,1794.064,1666.6666666666667,10083.272816666666
2017-07-05,0.0,3311.85,530.16215,4768.974,2384.487,1666.6666666666667,12662.139816666668
2017-07-06,0.0,3477.39,708.0006500000001,5127.732,2563.866,1666.6666666666667,13543.655316666667
2017-07-07,0.0,2526.27,749.2247000000001,3152.828,1576.414,1666.6666666666667,9671.403366666667
2017-07-08,0.0,1690.21,800.90605,2379.414,1189.707,1666.6666666666667,7726.903716666668
2017-07-09,0.0,1845.15,702.87665,1983.146,991.573,1666.6666666666667,7189.412316666668
2017-07-10,0.0,3070.41,468.36230000000006,4079.4680000000003,2039.7340000000002,1666.6666666666667,11324.640966666666
2017-07-11,0.0,3617.2599999999998,558.8331000000001,4718.21,2359.105,1666.6666666666667,12920.074766666667
2017-07-12,0.0,3228.19,459.13945000000007,4457.64,2228.82,1666.6666666666667,12040.456116666666
2017-07-13,0.0,3437.72,686.9271500000001,3580.5460000000003,1790.2730000000001,1666.6666666666667,11162.132816666666
2017-07-14,0.0,3088.11,883.7976000000001,4366.652,2183.326,1666.6666666666667,12188.552266666667
2017-07-15,0.0,2197.5,749.6751500000001,2625.61,1312.805,1666.6666666666667,8552.256816666666
2017-07-16,519386.66099999996,2513.28,469.47355000000005,3108.168,1554.084,1666.6666666666667,528698.3332166666
2017-07-17,0.0,3808.57,677.3137,5072.912,2536.456,1666.6666666666667,13761.918366666667
2017-07-18,0.0,3948.13,483.70385000000005,6440.486000000001,3220.2430000000004,1666.6666666666667,15759.229516666666
2017-07-19,0.0,3148.65,774.1958000000001,3883.6120000000005,1941.8060000000003,1666.6666666666667,11414.930466666667
2017-07-20,0.0,3213.73,945.3199000000001,4237.582,2118.791,1666.6666666666667,12182.089566666667
2017-07-21,0.0,2288.49,998.8072500000001,2983.5060000000003,1491.7530000000002,1666.6666666666667,9429.222916666666
2017-07-22,0.0,1852.39,648.4415000000001,2655.84,1327.92,1666.6666666666667,8151.258166666667
2017-07-23,0.0,1888.11,649.8737000000001,2801.1440000000002,1400.5720000000001,1666.6666666666667,8406.366366666667
2017-07-24,0.0,3116.91,494.56155000000007,4260.126,2130.063,1666.6666666666667,11668.327216666667
2017-07-25,0.0,3010.68,575.4672000000002,3984.2000000000003,1992.1000000000001,1666.6666666666667,11229.113866666667
2017-07-26,0.0,2598.69,544.0337000000001,2717.348,1358.674,1666.6666666666667,8885.412366666667
2017-07-27,0.0,2936.17,680.68665,3700.2180000000003,1850.1090000000002,1666.6666666666667,10833.850316666667
2017-07-28,0.0,3233.14,628.8156,4655.26,2327.63,1666.6666666666667,12511.512266666667
2017-07-29,0.0,2364.18,506.0608000000001,3557.732,1778.866,1666.6666666666667,9873.505466666666
2017-07-30,0.0,2396.81,582.7881500000001,3068.338,1534.169,1666.6666666666667,9248.771816666665
2017-07-31,0.0,3139.5099999999998,741.0396000000001,4060.366,2030.183,1666.6666666666667,11637.765266666667
2017-08-01,0.0,3533.5099999999998,676.4733500000001,5030.716,2515.358,1666.6666666666667,13422.724016666665
2017-08-02,0.0,2912.69,657.9058500000001,4166.426,2083.213,1666.6666666666667,11486.901516666667
2017-08-03,0.0,3077.8,724.0250500000001,4412.682,2206.341,1666.6666666666667,12087.514716666667
2017-08-04,0.0,3257.7,896.2688,4264.064,2132.032,1666.6666666666667,12216.731466666666
2017-08-05,0.0,2509.59,719.2731000000001,2881.5660000000003,1440.7830000000001,1666.6666666666667,9217.878766666669
2017-08-06,0.0,2403.24,667.4731,3061.1440000000002,1530.5720000000001,1666.6666666666667,9329.095766666667
2017-08-07,0.0,3371.5,709.0401500000002,5325.868,2662.934,1666.6666666666667,13736.008816666666
